"Player","team","pos","base"
"Dak Prescott","DAL","QB","$31,409,000"
"Jimmy Garoppolo","SF","QB","$23,800,000"
"Trenton Brown","LV","RT","$21,250,000"
"Derek Carr","LV","QB","$18,900,000"
"Russell Wilson","SEA","QB","$18,000,000"
"A.J. Green","CIN","WR","$17,971,000"
"Von Miller","DEN","OLB","$17,500,000"
"Ryan Tannehill","TEN","QB","$17,500,000"
"Aaron Donald","LAR","DT","$17,000,000"
"Matt Judon","BAL","OLB","$16,808,000"
"Leonard Williams","NYG","DE","$16,126,000"
"Alex Smith","WAS","QB","$16,000,000"
"Chandler Jones","ARI","OLB","$16,000,000"
"Taylor Lewan","TEN","LT","$16,000,000"
"Shaquil Barrett","TB","OLB","$15,828,000"
"Bud Dupree","PIT","OLB","$15,828,000"
"J.J. Watt","HOU","DE","$15,500,000"
"Brandon Scherff","WAS","G","$15,030,000"
"Tom Brady","TB","QB","$15,000,000"
"Joe Thuney","NE","G","$14,781,000"
"Chris Jones","KC","DT","$14,626,000"
"T.Y. Hilton","IND","WR","$14,542,000"
"Donovan Smith","TB","LT","$14,500,000"
"Stefon Diggs","BUF","WR","$14,200,000"
"Odell Beckham, Jr.","CLE","WR","$14,000,000"
"Melvin Ingram","LAC","DE","$14,000,000"
"Khalil Mack","CHI","OLB","$13,300,000"
"Jarvis Landry","CLE","WR","$13,000,000"
"Stephon Gilmore","NE","CB","$13,000,000"
"Russell Okung","CAR","LT","$13,000,000"
"Philip Rivers","IND","QB","$13,000,000"
"Myles Jack","JAC","ILB","$12,750,000"
"Kawann Short","CAR","DE","$12,500,000"
"Trent Williams","SF","LT","$12,500,000"
"DeForest Buckner","IND","DT","$12,378,000"
"Patrick Peterson","ARI","CB","$12,050,000"
"Frank Clark","KC","DE","$12,000,000"
"Davante Adams","GB","WR","$12,000,000"
"Sheldon Richardson","CLE","DT","$11,900,000"
"Xavien Howard","MIA","CB","$11,900,000"
"Ryan Kerrigan","WAS","DE","$11,500,000"
"Justin Simmons","DEN","FS","$11,441,000"
"Anthony Harris","MIN","FS","$11,441,000"
"Jurrell Casey","DEN","DE","$11,250,000"
"Julio Jones","ATL","WR","$11,200,000"
"Tyrann Mathieu","KC","FS","$11,150,000"
"Trey Flowers","DET","DE","$11,125,000"
"Geno Atkins","CIN","DT","$11,100,000"
"Byron Jones","MIA","CB","$11,000,000"
"Larry Fitzgerald","ARI","WR","$11,000,000"
"Kareem Jackson","DEN","SS","$11,000,000"
"Tyrell Williams","LV","WR","$11,000,000"
"Malcolm Butler","TEN","CB","$11,000,000"
"Allen Robinson","CHI","WR","$10,900,000"
"Laremy Tunsil","HOU","LT","$10,850,000"
"Lavonte David","TB","ILB","$10,750,000"
"Bobby Wagner","SEA","ILB","$10,750,000"
"Hunter Henry","LAC","TE","$10,607,000"
"Whitney Mercilus","HOU","OLB","$10,500,000"
"Akiem Hicks","CHI","DT","$10,200,000"
"David Johnson","HOU","RB","$10,200,000"
"Will Fuller","HOU","WR","$10,162,000"
"Ryan Jensen","TB","C","$10,000,000"
"Landon Collins","WAS","SS","$10,000,000"
"Kevin Zeitler","NYG","G","$10,000,000"
"Anthony Barr","MIN","OLB","$10,000,000"
"Amari Cooper","DAL","WR","$10,000,000"
"Marcus Peters","BAL","CB","$10,000,000"
"William Jackson","CIN","CB","$9,954,000"
"A.J. Bouye","DEN","CB","$9,941,176"
"Alshon Jeffery","PHI","WR","$9,910,000"
"Casey Hayward","LAC","CB","$9,750,000"
"Kirk Cousins","MIN","QB","$9,500,000"
"Rodger Saffold","TEN","G","$9,500,000"
"Gabe Jackson","LV","G","$9,350,000"
"Rob Gronkowski","TB","TE","$9,000,000"
"Stephon Tuitt","PIT","DE","$9,000,000"
"Andrew Norwell","JAC","G","$9,000,000"
"Eric Fisher","KC","LT","$8,750,000"
"Duane Brown","SEA","LT","$8,750,000"
"Travis Kelce","KC","TE","$8,500,000"
"Joel Bitonio","CLE","G","$8,500,000"
"Jamison Crowder","NYJ","WR","$8,500,000"
"Trai Turner","LAC","G","$8,500,000"
"Tyler Lockett","SEA","WR","$8,500,000"
"Kenyan Drake","ARI","RB","$8,483,000"
"Ronnie Stanley","BAL","LT","$8,366,000"
"Harrison Smith","MIN","SS","$8,350,000"
"Tre'Davious White","BUF","CB","$8,250,000"
"Brandin Cooks","HOU","WR","$8,000,000"
